"Gross domestic product (GDP) at basic prices, by industry, monthly (x 1,000,000) 1 2"
"Frequency: Monthly"
"Table: 36-10-0434-01 (formerly CANSIM 379-0031)"
"Release date: 2021-10-29"
"Geography: Canada"
""
""

,"Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Chained (2012) dollars 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS)","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All industries  [T001] 4","1,773,250","1,782,226","1,787,024","1,790,684","1,802,034","1,810,319","1,812,914","1,809,135","1,816,399","1,821,619","1,822,817","1,825,584","1,817,974","1,815,506","1,814,460","1,813,921","1,812,920","1,817,855","1,822,436","1,826,294","1,818,765","1,820,488","1,824,776","1,826,829","1,837,860","1,832,584","1,825,855","1,830,002","1,819,666","1,828,411","1,839,206","1,843,452","1,848,118","1,847,038","1,853,836","1,858,876","1,868,964","1,873,773","1,881,584","1,888,758","1,896,042","1,899,612","1,900,773","1,899,358","1,902,497","1,905,137","1,913,640","1,920,686","1,919,623","1,927,189","1,932,480","1,932,577","1,944,258","1,946,207","1,952,354","1,954,079","1,955,253","1,961,308","1,957,862","1,956,990","1,958,988","1,954,720","1,967,722","1,976,034","1,981,882","1,986,301","1,986,641","1,985,761","1,987,927","1,989,460","1,990,238","1,995,370","1,996,386","2,001,771","1,850,923","1,646,431","1,721,600","1,824,288","1,874,381","1,894,478","1,908,984","1,921,095","1,935,304","1,936,047","1,949,593","1,954,507","1,979,188","1,962,937","1,952,806","1,966,265","1,964,554","1,972,761"
"Goods-producing industries  [T002] 4","536,543","542,817","544,167","547,371","552,330","556,600","555,172","548,517","554,899","558,904","558,790","559,652","555,276","551,019","547,639","544,685","545,147","545,511","547,686","552,924","544,575","544,266","544,883","544,577","548,275","542,758","537,195","539,249","526,381","533,715","540,542","542,376","544,093","542,336","546,520","549,952","553,879","552,976","555,004","556,809","560,051","561,899","563,840","561,131","563,665","562,577","567,689","571,496","569,922","574,998","578,826","577,924","580,993","582,881","584,330","581,748","579,815","579,854","576,441","572,576","573,389","571,157","578,168","583,205","586,927","586,151","581,355","579,796","579,026","579,926","578,233","577,591","577,845","581,859","550,951","470,266","504,765","534,591","544,766","546,317","549,517","552,042","558,151","561,790","570,473","567,523","573,641","572,783","565,476","571,211","563,236","562,418"
"Service-producing industries  [T003] 4","1,236,568","1,239,380","1,242,897","1,243,415","1,249,850","1,253,895","1,257,913","1,260,703","1,261,599","1,262,814","1,264,063","1,265,904","1,263,186","1,264,612","1,266,644","1,268,768","1,267,358","1,271,804","1,274,286","1,273,290","1,273,471","1,275,405","1,278,979","1,281,217","1,288,764","1,288,477","1,286,864","1,289,053","1,290,340","1,292,341","1,296,750","1,299,212","1,302,208","1,302,685","1,305,551","1,307,391","1,313,599","1,319,106","1,324,871","1,330,222","1,334,367","1,336,158","1,335,554","1,336,616","1,337,385","1,340,919","1,344,525","1,347,922","1,348,312","1,351,056","1,352,726","1,353,644","1,362,222","1,362,389","1,367,056","1,371,073","1,373,978","1,379,849","1,379,616","1,382,315","1,383,535","1,381,357","1,387,576","1,391,050","1,393,360","1,398,313","1,402,967","1,403,520","1,406,329","1,407,043","1,409,356","1,415,002","1,415,820","1,417,443","1,298,902","1,173,225","1,215,011","1,287,691","1,327,100","1,345,164","1,356,350","1,365,804","1,374,076","1,371,498","1,376,820","1,384,275","1,402,718","1,387,758","1,384,537","1,392,437","1,397,975","1,406,692"
"Business sector industries  [T004]","1,454,369","1,462,865","1,467,482","1,471,043","1,482,459","1,492,460","1,493,501","1,489,412","1,497,733","1,501,098","1,502,112","1,505,166","1,496,533","1,493,315","1,492,062","1,490,814","1,490,739","1,495,306","1,499,877","1,505,172","1,496,659","1,498,248","1,502,633","1,504,070","1,514,248","1,507,975","1,500,520","1,504,309","1,492,626","1,501,242","1,512,476","1,516,395","1,520,515","1,519,554","1,526,183","1,531,329","1,541,376","1,545,522","1,553,040","1,559,849","1,566,864","1,569,581","1,569,803","1,567,328","1,569,533","1,572,266","1,580,254","1,586,504","1,584,588","1,591,481","1,595,827","1,594,767","1,605,330","1,606,336","1,611,689","1,612,699","1,613,449","1,618,960","1,614,914","1,613,548","1,614,483","1,609,552","1,621,566","1,629,524","1,634,583","1,638,562","1,637,858","1,636,758","1,638,679","1,639,869","1,640,123","1,644,291","1,644,174","1,649,584","1,522,603","1,334,434","1,401,767","1,499,078","1,539,208","1,554,200","1,565,534","1,575,632","1,589,379","1,587,810","1,598,370","1,601,413","1,623,108","1,609,818","1,596,724","1,608,827","1,605,588","1,613,896"
"Non-business sector industries  [T007]","318,828","319,375","319,637","319,780","319,807","318,202","319,755","320,052","319,043","320,857","321,021","320,739","321,724","322,389","322,585","323,237","322,339","322,748","322,829","321,492","322,328","322,478","322,418","323,013","324,009","324,840","325,438","325,825","326,942","327,186","326,899","327,248","327,822","327,691","327,913","327,867","328,026","328,700","329,069","329,495","329,837","330,686","331,614","332,587","333,525","333,527","334,130","335,004","335,846","336,496","337,378","338,429","339,569","340,424","341,223","341,884","342,288","342,886","343,417","343,880","344,922","345,470","346,561","347,000","347,826","348,306","349,282","349,475","349,723","350,068","350,566","351,541","352,597","352,696","328,587","310,827","319,056","325,324","335,214","340,185","343,316","345,321","345,927","348,053","351,000","352,856","355,942","353,004","355,634","357,064","358,479","358,487"
